Feature,Importance
avg_accel_index_x,0.002051197589895547
skew_index_x,0.002030020018605861
avg_accel_mag_thumb,0.0019143513357117912
avg_accel_mag_index,0.0018479689220115756
skew_pinky_x,0.0016682688221359052
variance_pinky_x,0.0016089995036557678
avg_accel_mag_middle,0.0016015670654899131
avg_accel_mag_pinky,0.0015939779455840298
kurtosis_ring_y,0.0015553542915206098
avg_jerk_thumb_imu_x,0.001553514471935513
avg_jerk_thumb_imu_z,0.0014549863398691213
avg_jerk_middle_z,0.0013555055709453636
avg_jerk_index_x,0.0013492646791093462
avg_jerk_thumb_imu_yaw,0.001337986473319302
avg_jerk_ring_z,0.0013162294578228449
avg_jerk_index_z,0.0013155338621322888
avg_jerk_index_y,0.0013111896506673875
avg_jerk_pinky_z,0.0013060910243825848
avg_jerk_middle_x,0.0012295835076408348
avg_jerk_pinky_y,0.001185635189105116
avg_jerk_thumb_imu_y,0.0011840888590295782
avg_jerk_thumb_imu_roll,0.0011214738355023173
avg_jerk_thumb_x,0.0010962087599794442
avg_jerk_ring_x,0.001070134009192989
avg_jerk_thumb_y,0.001066671480974152
avg_accel_pinky_x,0.001057870229823978
avg_jerk_ring_y,0.0009966289694784602
avg_jerk_middle_y,0.0009660600672901599
avg_jerk_thumb_imu_pitch,0.0009492348140259434
avg_jerk_pinky_x,0.0009040608373482723
avg_jerk_thumb_z,0.0008765008906273242
